lower_bound,upper_bound,window_id,group_idx
561,685,0,17
2524,2680,1,85
10194,10920,2,86
13120,13284,3,87
14075,14199,4,17
106338,106462,5,0
109627,109751,6,0
144263,144507,7,0
150300,150424,8,0
165860,165984,9,0
166423,166547,10,0
166651,166775,11,0
167882,168006,12,0
171766,171890,13,0
172224,172348,14,0
172479,172603,15,0
179866,179990,16,0
204743,204867,17,0
214777,214901,18,0
216894,217018,19,0
217101,217225,20,0
217344,217468,21,0
224864,224988,22,0
228033,228157,23,10
228576,228700,24,0
228966,229090,25,0
229551,229675,26,0
230815,230939,27,0
231322,231446,28,0
235643,235767,29,0
320805,320929,30,0
323969,324093,31,0
329652,329776,32,0
329849,329973,33,0
330556,330680,34,0
330812,330936,35,0
331071,331195,36,0
331292,331416,37,0
332440,332596,38,0
333824,333948,39,0
334650,334774,40,0
334996,335120,41,0
335480,335604,42,0
335845,335969,43,0
336109,336233,44,0
336704,336865,45,0
337034,337158,46,0
337471,337595,47,0
337788,338107,48,0
338204,338442,49,0
338754,338885,50,0
339196,339320,51,0
339729,339853,52,0
340145,340269,53,0
340329,340453,54,0
340727,340851,55,0
341440,341564,56,0
341688,341812,57,18
342093,342217,58,0
342680,342804,59,0
343490,343614,60,0
343729,343853,61,0
343873,343997,62,0
344219,344343,63,0
344506,344698,64,0
344703,344827,65,0
344970,345094,66,0
345908,346032,67,0
346540,346664,68,0
347584,347708,69,0
348032,348156,70,0
348244,348368,71,0
348458,348582,72,0
348832,348956,73,0
349408,349532,74,0
351497,351621,75,0
352356,352480,76,0
440293,440417,77,0
744774,744898,78,0
766414,766538,79,0
769102,769226,80,0
807515,807639,81,0
808082,808206,82,0
808242,808436,83,0
808493,808617,84,0
808867,808991,85,0
809277,809401,86,0
809480,809748,87,0
809936,810060,88,0
810259,810383,89,0
811207,811381,90,0
811545,811722,91,0
811849,812127,92,0
812229,812437,93,0
812592,812716,94,0
812834,812958,95,0
813042,813166,96,0
813439,813625,97,0
813910,814034,98,0
814177,814301,99,0
814490,814652,100,0
814698,814822,101,0
815053,815243,102,0
815259,815629,103,0
815729,815923,104,0
815926,816078,105,0
816343,816549,106,0
816842,816966,107,0
817194,817371,108,0
817825,817949,109,0
817956,818080,110,0
818244,818385,111,0
818458,818582,112,0
818738,818862,113,0
819136,819260,114,0
819477,819601,115,0
820235,820359,116,0
820576,820700,117,0
820796,820920,118,0
821156,821280,119,0
821460,821584,120,0
821937,822061,121,0
822256,822380,122,0
823199,823408,123,0
823478,823617,124,0
823976,824100,125,0
824111,824235,126,0
824645,824769,127,0
824935,825059,128,0
825387,825511,129,0
825780,825904,130,0
828765,828889,131,19
830925,831049,132,0
831080,831204,133,0
866764,866888,134,0
877182,877306,135,0
878001,878125,136,0
878295,878419,137,0
878828,878952,138,0
879078,879202,139,0
879308,879432,140,0
879946,880101,141,0
880262,880386,142,0
880534,880658,143,11
880854,880987,144,0
881095,881219,145,0
881389,881513,146,0
881631,881792,147,0
881985,882109,148,0
882218,882342,149,0
882965,883089,150,0
883307,883431,151,0
883737,883861,152,0
883908,884032,153,0
885054,885178,154,0
885313,885440,155,0
885746,885870,156,0
885983,886107,157,0
886470,886594,158,0
886752,886876,159,20
886948,887122,160,0
887128,887290,161,0
887340,887464,162,0
887662,887827,163,0
887947,888071,164,0
888526,888650,165,0
889197,889321,166,0
889497,889621,167,0
889957,890081,168,0
890167,890291,169,0
890634,890758,170,0
891366,891490,171,0
891744,891868,172,0
892316,892440,173,0
892561,892685,174,0
892970,893094,175,0
893295,893419,176,0
894179,894303,177,0
895038,895162,178,0
895373,895497,179,0
896163,896287,180,0
896460,896584,181,0
896824,896948,182,0
897349,897473,183,0
898064,898188,184,0
898397,898521,185,0
898652,898776,186,0
899319,899443,187,0
899827,899951,188,0
900916,901040,189,0
902606,902730,190,0
902845,902969,191,0
903243,903367,192,0
903463,903595,193,0
904169,904293,194,0
904402,904526,195,0
905377,905501,196,0
905857,905981,197,0
906617,906741,198,0
907072,907196,199,0
931477,931601,200,0
932034,932158,201,0
932216,932340,202,0
932680,932804,203,0
932869,932993,204,0
949132,949256,205,0
949865,949989,206,0
950036,950160,207,0
950232,950356,208,0
950829,950953,209,0
951006,951130,210,0
951133,951257,211,0
951419,951543,212,0
951949,952073,213,0
952607,952731,214,0
953038,953162,215,0
953277,953401,216,0
953570,953694,217,0
953845,953969,218,0
954106,954246,219,0
954305,954429,220,0
954640,954764,221,0
954916,955040,222,0
955169,955293,223,0
955384,955544,224,0
955581,955705,225,0
955802,955926,226,0
955981,956105,227,0
956262,956386,228,0
956475,956599,229,0
956714,956871,230,0
957067,957191,231,0
957368,957547,232,0
957792,957916,233,0
958049,958173,234,0
958322,958504,235,0
958689,959311,236,0
959900,960024,237,0
960214,960338,238,0
960489,960706,239,0
960904,961201,240,0
961240,961364,241,0
961380,961653,242,7
961697,961821,243,0
962178,962302,244,0
962965,963089,245,0
963126,963250,246,0
963413,963537,247,0
964058,964182,248,0
964460,964584,249,0
964915,965039,250,0
965221,965345,251,0
965400,965679,252,0
965754,965878,253,0
966184,966308,254,0
966472,966596,255,0
966667,966791,256,0
967016,967143,257,0
967385,967509,258,0
967727,967851,259,0
967864,968096,260,0
968229,968353,261,0
968398,968664,262,0
968680,968896,263,0
969010,969134,264,0
969314,969601,265,0
969743,969867,266,0
970147,970296,267,0
970607,970731,268,0
971060,971184,269,0
971370,971523,270,0
971594,971718,271,0
971876,972123,272,0
972654,972778,273,0
972877,973001,274,21
973094,973218,275,0
973564,973688,276,0
973875,973999,277,0
974476,974660,278,0
974824,974948,279,0
975114,975287,280,0
975443,975567,281,0
975641,975813,282,0
975849,975973,283,0
976305,976429,284,0
977175,977299,285,0
977591,977715,286,0
978072,978204,287,0
978941,979065,288,0
979131,979255,289,0
979398,979522,290,0
980002,980126,291,0
980214,980338,292,0
981176,981300,293,0
981349,981563,294,0
981817,981941,295,0
983446,983691,296,0
984328,984452,297,0
985273,985397,298,0
985490,985614,299,0
985719,985843,300,0
986238,986362,301,0
986673,986797,302,0
989458,989582,303,22
995369,995493,304,0
995607,995731,305,0
997356,997480,306,0
1000226,1000350,307,0
1121729,1121853,308,23
1331847,1331971,309,0
1358455,1358579,310,0
1373675,1373799,311,0
1596409,1596533,312,0
1635330,1635454,313,0
1662832,1662956,314,0
1734084,1734208,315,0
1749741,1749865,316,0
1977294,1977418,317,0
1977549,1977673,318,0
1978140,1978264,319,0
1978290,1978414,320,0
1978803,1978927,321,0
1981420,1981544,322,0
1986821,1986945,323,0
1990566,1990690,324,0
1990903,1991027,325,0
1991671,1991795,326,0
1991858,1991982,327,1
1992902,1993026,328,0
1994643,1994767,329,0
1995049,1995173,330,0
1995570,1995694,331,0
