lower_bound,upper_bound,window_id,group_idx
3315,3439,0,20
18047,18171,1,20
27447,27603,2,79
27928,28084,3,80
28893,29049,4,81
29190,29346,5,82
29458,29614,6,83
30526,30682,7,84
300798,300922,8,4
470504,470628,9,0
471662,471786,10,0
563514,563638,11,0
847409,847533,12,0
848299,848423,13,0
849680,849804,14,0
850386,850510,15,0
850708,850832,16,0
851256,851380,17,0
852235,852359,18,0
852681,852824,19,0
855843,855967,20,0
868247,868371,21,0
1295488,1295612,22,0
1305321,1305445,23,0
1652246,1652370,24,0
1673608,1673732,25,0
1678047,1678171,26,0
1679194,1679318,27,0
1681511,1681635,28,0
1692778,1692902,29,0
1693121,1693245,30,0
2105836,2105960,31,21
3496042,3496166,32,8
4021241,4021420,33,4
4145348,4145472,34,0
4146057,4146181,35,0
4154916,4155040,36,0
4157579,4157703,37,0
4162381,4162505,38,0
4165228,4165352,39,0
4554700,4554824,40,0
4555271,4555395,41,0
4556403,4556640,42,1
4556647,4556791,43,0
4556836,4556960,44,0
4557134,4557305,45,0
4557796,4558312,46,0
4558388,4558512,47,0
4558689,4558813,48,0
4559073,4559218,49,0
4559473,4559597,50,0
4561086,4561210,51,0
4561437,4561561,52,0
4561637,4561761,53,0
4562384,4562508,54,0
4563038,4563200,55,0
4563976,4564100,56,0
4564946,4565070,57,0
4565803,4565927,58,0
4565996,4566201,59,0
4567032,4567156,60,0
4569006,4569130,61,0
4570027,4570151,62,0
4585350,4585474,63,0
4587464,4587588,64,0
5393995,5394241,65,22
5394810,5394937,66,23
5395347,5395471,67,24
5397939,5398076,68,25
5398162,5398286,69,26
5398688,5398891,70,9
5399434,5399679,71,27
5400024,5400148,72,28
5400818,5400942,73,29
5404604,5404728,74,26
5404893,5405017,75,30
5405209,5405333,76,9
5406466,5406590,77,28
5407576,5407700,78,31
5407969,5408106,79,25
5408384,5408508,80,32
5408718,5408842,81,9
5409083,5409207,82,33
5409464,5409709,83,27
5410848,5410972,84,29
5412020,5412144,85,34
5414467,5414591,86,35
5414923,5415047,87,30
5416442,5416566,88,5
5417606,5417730,89,31
5418414,5418538,90,32
5418652,5418776,91,10
5419113,5419237,92,33
5419612,5419736,93,36
5419884,5420102,94,37
5420947,5421071,95,38
5421152,5421276,96,11
5421531,5421655,97,12
5422050,5422174,98,34
5423104,5423228,99,39
5424497,5424621,100,35
5425450,5425574,101,40
5425898,5426022,102,41
5426211,5426335,103,42
5426444,5426718,104,5
5426821,5426945,105,43
5427053,5427177,106,44
5427469,5427593,107,45
5428231,5428355,108,46
5428682,5428842,109,10
5429174,5429298,110,47
5429378,5429502,111,48
5429642,5429766,112,36
5429914,5430132,113,37
5430977,5431101,114,38
5431182,5431354,115,11
5431381,5431505,116,49
5431561,5431725,117,12
5431873,5431997,118,50
5433134,5433258,119,39
5435480,5435604,120,40
5435928,5436052,121,41
5436241,5436365,122,42
5436474,5436598,123,5
5436624,5436748,124,5
5436851,5436975,125,43
5437083,5437207,126,44
5437499,5437623,127,45
5438261,5438385,128,46
5438748,5438872,129,10
5439204,5439328,130,47
5439408,5439532,131,48
5441260,5441384,132,11
5441411,5441535,133,49
5441631,5441755,134,12
5441903,5442027,135,50
5444611,5444735,136,51
5444827,5444951,137,51
5445253,5445377,138,24
5445531,5445799,139,23
5575205,5575329,140,0
6011072,6011196,141,0
6013369,6013493,142,0
6013897,6014021,143,0
6014304,6014428,144,0
6017339,6017463,145,0
6017646,6017770,146,52
6020576,6020700,147,0
6021907,6022062,148,0
6022182,6022396,149,0
6022646,6022770,150,0
6023228,6023352,151,0
6023713,6023837,152,0
6023977,6024101,153,0
6024618,6025980,154,0
6025981,6026105,155,52
6026507,6026631,156,0
6027517,6027641,157,0
6027790,6027914,158,0
6028075,6028199,159,0
6028369,6028493,160,0
6028564,6028688,161,0
6028841,6028965,162,0
6030314,6030438,163,0
6030717,6030841,164,0
6032065,6032189,165,0
6032650,6032774,166,0
6035118,6035242,167,0
6035521,6035743,168,0
6035915,6036039,169,0
6036404,6036528,170,0
6036656,6036780,171,0
6036818,6036965,172,0
6037085,6037210,173,0
6037475,6037599,174,0
6037999,6038123,175,13
6038439,6038563,176,0
6039866,6039990,177,0
6040172,6040296,178,0
6040463,6040587,179,0
6041300,6041424,180,0
6041809,6041933,181,0
6045618,6045742,182,0
6779875,6779999,183,53
6782723,6782847,184,0
6783378,6783502,185,0
6783732,6783856,186,0
6784920,6785044,187,54
6786029,6786153,188,0
6786611,6786735,189,0
6787548,6787672,190,0
6789522,6789646,191,1
6789725,6789849,192,14
6790127,6790251,193,55
6791158,6791372,194,0
6792315,6792439,195,1
6793014,6793138,196,0
6795406,6795530,197,0
6798707,6798831,198,0
6799392,6799516,199,0
7036557,7036681,200,4
10014268,10014408,201,4
10315294,10315418,202,0
10334777,10334901,203,0
10335229,10335353,204,0
10335754,10335878,205,0
10336514,10336638,206,0
10337343,10337467,207,0
10338639,10338763,208,6
10339016,10339140,209,0
10340127,10340251,210,0
10340886,10341010,211,0
10342402,10342526,212,0
10394669,10394793,213,0
10399250,10399374,214,0
10410158,10410282,215,56
10415529,10415677,216,0
10415906,10416030,217,0
10416078,10416202,218,0
10416474,10416598,219,0
10417068,10417192,220,57
10417362,10417486,221,0
10418849,10418973,222,0
10419631,10419755,223,0
10421417,10421541,224,0
10421853,10421977,225,0
10432661,10432785,226,0
10723805,10723929,227,0
10726343,10726467,228,0
10726503,10726627,229,0
10731347,10731511,230,0
10733849,10733973,231,0
10741583,10741707,232,0
11565720,11565844,233,0
11568546,11568670,234,0
11572201,11572325,235,0
11572580,11572704,236,0
11574222,11574346,237,0
11574529,11574653,238,0
11576808,11576932,239,0
11577136,11577260,240,0
11582266,11582390,241,0
11584875,11584999,242,0
11587050,11587174,243,58
11587733,11587857,244,0
11626467,11626591,245,0
11801875,11801999,246,0
11802356,11802480,247,0
11802753,11802877,248,0
11803398,11803522,249,0
11803702,11803826,250,0
11804093,11804217,251,0
11804811,11804935,252,0
11805374,11805579,253,0
11805611,11805735,254,0
11806380,11806504,255,0
11806823,11806947,256,0
11807071,11807195,257,0
11807339,11807463,258,0
11807589,11807946,259,0
11808521,11808740,260,0
11808849,11809287,261,0
11809725,11809849,262,1
11809992,11810116,263,0
11810260,11810384,264,1
11810448,11810572,265,0
11810767,11810922,266,0
11811068,11811254,267,0
11811263,11811426,268,0
11811766,11811904,269,0
11812039,11812188,270,0
11812281,11812456,271,0
11812841,11812967,272,0
11813085,11813318,273,0
11813427,11813551,274,0
11814206,11814378,275,0
11814977,11815101,276,0
11815940,11816064,277,0
11816202,11816326,278,0
11816849,11816973,279,0
11817102,11817226,280,0
11817293,11817496,281,0
