lower_bound,upper_bound,window_id,group_idx
42925,43058,0,0
44421,44545,1,4
44860,44984,2,0
839968,840092,3,0
845025,845149,4,0
845572,845696,5,0
850555,850679,6,0
5399269,5399531,7,1
5399570,5399708,8,1
5400117,5400278,9,12
5400558,5400682,10,18
5401125,5401249,11,19
5402230,5402358,12,20
5407621,5407745,13,21
5409866,5409990,14,22
5414124,5414248,15,23
5418288,5418412,16,24
5419136,5419260,17,25
5421409,5421533,18,13
5421565,5421689,19,3
7941802,7941926,20,26
8163793,8163917,21,0
9052895,9053019,22,0
9074535,9074659,23,27
9075253,9075377,24,28
9075483,9075666,25,29
9075890,9076017,26,30
9076120,9076334,27,31
9076414,9076606,28,32
9077061,9077282,29,33
9078257,9078381,30,34
9078817,9078941,31,35
9079215,9079463,32,36
9079551,9079814,33,37
9079920,9080091,34,38
9080094,9080222,35,39
9080316,9080440,36,40
9080590,9080830,37,41
9081442,9081566,38,42
9082035,9082159,39,27
9082753,9082877,40,28
9082983,9083166,41,29
9083390,9083517,42,30
9083620,9083834,43,31
9083914,9084106,44,32
9084561,9084782,45,33
9085757,9085881,46,34
9086317,9086441,47,35
9086715,9086963,48,36
9087051,9087314,49,37
9087420,9087591,50,38
9087594,9087722,51,39
9087816,9087940,52,40
9088090,9088330,53,41
9088942,9089066,54,42
9326132,9326256,55,0
9371256,9371380,56,43
9554475,9554599,57,44
9555352,9555509,58,45
9555647,9555822,59,46
9555881,9556044,60,47
9556104,9556228,61,48
9556478,9556627,62,49
9556729,9556864,63,50
9556952,9557076,64,51
9557284,9557408,65,52
9557423,9557589,66,53
9557663,9557790,67,54
9557957,9558084,68,55
9558441,9558580,69,56
9558716,9558878,70,57
9559369,9559554,71,58
9559655,9559779,72,59
9559824,9559948,73,60
9560446,9560583,74,61
9560613,9560737,75,62
9560789,9560913,76,63
9561018,9561142,77,64
9561298,9561422,78,65
9561442,9561566,79,66
9561975,9562099,80,44
9562852,9563009,81,45
9563147,9563322,82,46
9563381,9563544,83,47
9563604,9563728,84,48
9563978,9564127,85,49
9564229,9564364,86,50
9564452,9564576,87,51
9564784,9564908,88,52
9564923,9565089,89,53
9565163,9565290,90,54
9565457,9565584,91,55
9565941,9566080,92,56
9566216,9566378,93,57
9566869,9567054,94,58
9567155,9567279,95,59
9567324,9567448,96,60
9567946,9568083,97,61
9568113,9568237,98,62
9568289,9568413,99,63
9568518,9568642,100,64
9568798,9568922,101,65
9568942,9569066,102,66
9869479,9869603,103,1
9875903,9876027,104,18
9876724,9876939,105,67
9899474,9899598,106,68
9901019,9901143,107,21
9920452,9920576,108,3
10001025,10001149,109,0
10085754,10085972,110,1
10088474,10088602,111,69
10092943,10093119,112,5
10108240,10108364,113,6
10115502,10115628,114,5
10168360,10168526,115,1
10175212,10175336,116,70
10179680,10179804,117,0
10190747,10190871,118,68
10193239,10193363,119,25
10197777,10197901,120,3
10393812,10393936,121,19
10400463,10400591,122,14
10505931,10506055,123,1
10512996,10513120,124,5
10543786,10543910,125,0
10553459,10553583,126,0
10580720,10580844,127,1
10587165,10587291,128,7
10587800,10587976,129,3
10734633,10734757,130,0
10735214,10735338,131,0
10753188,10753312,132,6
10753665,10753789,133,1
10760270,10760394,134,7
10801336,10801460,135,0
10813258,10813382,136,1
10820339,10820465,137,71
10843209,10843333,138,8
10863695,10863819,139,13
10897387,10897511,140,0
10913049,10913173,141,0
11054533,11054657,142,0
11083728,11083852,143,0
11096769,11096893,144,9
11097018,11097148,145,12
11109132,11109440,146,3
11154467,11154601,147,6
11160612,11160740,148,20
11161730,11161920,149,3
11184464,11184708,150,1
11190401,11190525,151,24
11191739,11191938,152,3
11199531,11199690,153,3
11230730,11230854,154,0
11242595,11242719,155,0
11272556,11272680,156,0
11409726,11409872,157,1
11416880,11417004,158,3
11499809,11499933,159,1
11500820,11500944,160,72
11502942,11503066,161,72
11506656,11506780,162,73
11506882,11507006,163,70
11516129,11516253,164,0
11544701,11544952,165,8
11544961,11545090,166,1
11545097,11545226,167,1
11545262,11545396,168,12
11545604,11545746,169,74
11545842,11545990,170,75
11546149,11546314,171,10
11547076,11547224,172,75
11548442,11548566,173,10
11587236,11587360,174,43
11642187,11642350,175,6
11642474,11642598,176,1
11645063,11645222,177,10
11645568,11645708,178,10
11649506,11649661,179,5
11673125,11673249,180,0
11729524,11729648,181,0
11807226,11807360,182,1
11809688,11809812,183,22
11813947,11814071,184,23
11814565,11814689,185,67
11902604,11902728,186,76
11910104,11910228,187,76
12039710,12039834,188,1
12043154,12043292,189,77
12049482,12049614,190,78
12052143,12052335,191,3
12097494,12097765,192,1
12115854,12115998,193,15
12119288,12119474,194,15
12123740,12123864,195,73
12124670,12124856,196,15
12125030,12125156,197,71
12125192,12125334,198,7
12125349,12125535,199,3
12258184,12258308,200,0
12307313,12307437,201,0
12358227,12358357,202,1
12374129,12374283,203,79
12374419,12374658,204,9
12375466,12375590,205,9
12377146,12377336,206,9
12380755,12380879,207,26
12426492,12426634,208,80
12426982,12427110,209,81
12427203,12427346,210,82
12427689,12427813,211,83
12428211,12428351,212,84
12428501,12428693,213,85
12428791,12428925,214,86
12429079,12429307,215,87
12429381,12429522,216,88
12429954,12430219,217,89
12430312,12430670,218,90
12430982,12431167,219,91
12431184,12431310,220,92
12431602,12431726,221,93
12432332,12432456,222,94
12432532,12432656,223,95
12433003,12433127,224,96
12433542,12433666,225,1
12446112,12446244,226,3
12446257,12446405,227,14
12446992,12447134,228,80
12447482,12447610,229,81
12447703,12447846,230,82
12448189,12448313,231,83
12448711,12448851,232,84
12449001,12449193,233,85
12449291,12449425,234,86
12449579,12449807,235,87
12449881,12450022,236,88
12450454,12450719,237,89
12450812,12451170,238,90
12451482,12451667,239,91
12451684,12451810,240,92
12452102,12452226,241,93
12452832,12452956,242,94
12453032,12453156,243,95
12453503,12453627,244,96
12732734,12732858,245,0
12735294,12735418,246,0
12735435,12735559,247,0
12738215,12738339,248,0
12744592,12744716,249,0
13645388,13645512,250,0
13645825,13645949,251,0
13647079,13647256,252,16
13647645,13647769,253,2
13648178,13648305,254,2
13791791,13791915,255,0
13858690,13858814,256,0
13859738,13859862,257,16
13860660,13860784,258,2
13861273,13861397,259,97
13861927,13862051,260,97
13862775,13862899,261,4
13862950,13863074,262,0
13863413,13863537,263,2
13863606,13863730,264,0
13864481,13864605,265,2
13865348,13865478,266,0
13865630,13865893,267,0
13865971,13866237,268,2
13866827,13866951,269,4
13868810,13868934,270,0
13889343,13889467,271,0
14104083,14104207,272,1
14111226,14111381,273,13
14253617,14253775,274,0
14254435,14254559,275,0
14260000,14260124,276,0
14267900,14268024,277,0
14268654,14268778,278,0
14270458,14270582,279,0
14314009,14314255,280,1
14314306,14314434,281,69
14314730,14314884,282,98
14315722,14315876,283,98
14319388,14319542,284,79
14319914,14320052,285,77
14320160,14320292,286,78
14320525,14320730,287,7
14320985,14321393,288,3
14351629,14351753,289,1
14352765,14352907,290,74
14358524,14358652,291,3
14358764,14358888,292,5
14389676,14389815,293,99
14389898,14390022,294,100
14390736,14390866,295,101
14391149,14391273,296,102
14391528,14391733,297,103
14391854,14391978,298,104
14392289,14392413,299,105
14392530,14392654,300,106
14393309,14393442,301,107
14393591,14393746,302,108
14394065,14394203,303,109
14394683,14394807,304,110
14395030,14395156,305,111
14395470,14395594,306,112
14396226,14396350,307,113
14397176,14397315,308,99
14397398,14397522,309,100
14398236,14398366,310,101
14398649,14398773,311,102
14399028,14399233,312,103
14399354,14399478,313,104
14399789,14399913,314,105
14400030,14400154,315,106
14400809,14400942,316,107
14401091,14401246,317,108
14401565,14401703,318,109
14402183,14402307,319,110
14402530,14402656,320,111
14402970,14403094,321,112
14403726,14403850,322,113
14456537,14456661,323,8
14463736,14463860,324,14
14473570,14473694,325,0
14475101,14475225,326,17
14475758,14475882,327,0
14479718,14479842,328,0
14511030,14511154,329,0
14511586,14511715,330,0
14512725,14512849,331,0
14960349,14960473,332,0
14996151,14996275,333,0
14996555,14996679,334,0
14996893,14997146,335,0
14997254,14997378,336,114
14997469,14997593,337,0
14997822,14997946,338,0
14998351,14998475,339,0
14998906,14999030,340,0
14999728,14999852,341,0
15001718,15001842,342,0
15002017,15002141,343,0
15044595,15044719,344,0
15047336,15047539,345,0
15050894,15051024,346,0
15062579,15062703,347,0
15062938,15063062,348,0
15063300,15063424,349,0
15236691,15236815,350,0
15237762,15237886,351,0
15238104,15238255,352,4
15238913,15239037,353,0
15239215,15239339,354,0
15239589,15239783,355,0
15615649,15615773,356,0
15616004,15616128,357,0
15618099,15618257,358,0
15618529,15618653,359,2
15618737,15618861,360,0
15619115,15619240,361,2
15619316,15619440,362,17
15619685,15619809,363,16
15619964,15620088,364,2
15620387,15620511,365,0
15620560,15620773,366,2
15621127,15621251,367,2
15621584,15621907,368,2
15622082,15622236,369,2
15622568,15622692,370,0
15747610,15747734,371,0
15750639,15750763,372,2
15750935,15751296,373,0
15754554,15754766,374,11
15757220,15757344,375,0
15757421,15757633,376,0
15757742,15757866,377,0
15758631,15758755,378,0
15760640,15760764,379,0
15760822,15760946,380,0
15762424,15762548,381,0
15762916,15763040,382,0
15764239,15764443,383,0
15767883,15768007,384,0
15768563,15769101,385,0
15770572,15770696,386,0
15770900,15771098,387,0
15771175,15771349,388,4
15771484,15771667,389,0
15772534,15772658,390,0
15772871,15773056,391,0
15776658,15776782,392,0
15776785,15776909,393,0
15860187,15860311,394,0
15881682,15881806,395,0
15882254,15882378,396,0
15883201,15883325,397,0
15887801,15887927,398,0
15972441,15972565,399,0
15980173,15980297,400,0
15980304,15980428,401,0
15980473,15980699,402,0
15982411,15983135,403,0
15983276,15983400,404,0
15983584,15983743,405,0
15985228,15985352,406,0
15985444,15985568,407,0
15985685,15985828,408,0
15985895,15986297,409,0
15986478,15986602,410,0
15986617,15986741,411,0
15987149,15987273,412,0
15987953,15988841,413,0
15988971,15989095,414,0
15989594,15989931,415,0
15990358,15990482,416,0
15990627,15990751,417,0
15991021,15991216,418,0
15991480,15991821,419,0
15992030,15992154,420,0
15992404,15992528,421,0
15992572,15992696,422,0
15992796,15992920,423,0
15993015,15993165,424,17
15993514,15993863,425,0
15993904,15994083,426,4
15994310,15994539,427,0
15994588,15994712,428,0
15995091,15995215,429,0
15995352,15995564,430,0
15996815,15996939,431,0
15997432,15997556,432,4
15998596,15998720,433,0
15998864,15998988,434,0
15999351,15999570,435,0
16000432,16000631,436,0
16001129,16001253,437,0
16001350,16001474,438,2
16002478,16002602,439,0
16003961,16004085,440,2
16096971,16097095,441,0
16113621,16113745,442,0
16135254,16135378,443,0
16391121,16391245,444,0
17223956,17224080,445,8
17363956,17364080,446,0
17637807,17637931,447,11
17639422,17639546,448,0
17960543,17960667,449,0
17960817,17960941,450,0
17969707,17969831,451,0
18197532,18197656,452,0
18198144,18198268,453,0
18198727,18198885,454,0
18199072,18199196,455,0
18199547,18199671,456,0
18200175,18200299,457,4
18200425,18200549,458,0
18201299,18201423,459,0
18201585,18201709,460,0
18201838,18202039,461,0
18202095,18202319,462,0
18202372,18202496,463,0
18203300,18203424,464,0
18402956,18403531,465,0
18403795,18403919,466,0
18404213,18404337,467,0
18404416,18404540,468,0
18404821,18405231,469,0
18405783,18405907,470,0
18406134,18406258,471,0
18406680,18406804,472,0
18407355,18407479,473,0
18408857,18408981,474,0
18410894,18411018,475,0
18412592,18412739,476,0
18412911,18413035,477,0
18413166,18413290,478,0
18413654,18413778,479,0
18415029,18415153,480,0
18417590,18417714,481,0
18417972,18418140,482,0
18829501,18829625,483,0
18829766,18829890,484,0
18830019,18830272,485,0
19076113,19076237,486,114
19082389,19082513,487,0
19087334,19087458,488,0
19088920,19089044,489,0
19089050,19089189,490,0
19091191,19091371,491,0
19091526,19091650,492,0
19098777,19098901,493,0
19100279,19100403,494,0
19100507,19100631,495,11
19104115,19104239,496,11
19118089,19118286,497,0
19118337,19118461,498,0
19118758,19118882,499,2
19121221,19121345,500,0
19122561,19122685,501,0
19122992,19123116,502,0
19124142,19124266,503,0
19126516,19126640,504,0
19127903,19128027,505,0
19130305,19130429,506,0
19134767,19134891,507,0
19134935,19135059,508,0
19138161,19138285,509,0
19773993,19774241,510,0
19775335,19775459,511,0
19775600,19775724,512,0
19775825,19775949,513,0
19776296,19776420,514,0
19776738,19776862,515,0
19777719,19777843,516,0
19777916,19778040,517,0
19778399,19778604,518,0
19871190,19871314,519,0
20040726,20040850,520,0
20716497,20716621,521,0
20718461,20718585,522,0
20721016,20721140,523,0
20721346,20721470,524,0
20723501,20723707,525,0
20723949,20724073,526,0
20725351,20725516,527,0
20728414,20728593,528,0
20730515,20730639,529,0
20730959,20731083,530,0
20747402,20747526,531,0
20747832,20747956,532,2
20748318,20748442,533,0
21327077,21327201,534,0
21328329,21328499,535,0
21331551,21331675,536,0
21333003,21333127,537,0
