Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
25334,29898,0.999999940395,21.5254934884,160.0,5.96046447754e-08,1,6,30
25732,25936,0.999999940395,21.5254934884,69.0,5.96046447754e-08,2,3,47
29445,29149,0.999999940395,21.5254934884,77.0,5.96046447754e-08,5,4,48
29907,25305,0.999999940395,21.5254934884,189.0,5.96046447754e-08,6,1,30
30070,25280,0.999999940395,21.5254934884,131.0,5.96046447754e-08,7,1,30
31231,31173,0.999999880791,21.5254922054,204.0,5.96046447754e-08,8,8,187
1850014,13337544,0.889530718327,19.1475888264,194.699823694,0.414444059134,9,358,6
2772037,21358942,0.901159346104,19.3979007928,301.108342804,0.397729575634,10,1172,0
2835184,18697745,0.925570368767,19.9233601335,272.811936635,0.439972996712,11,1091,0
2836991,18697587,0.895975112915,19.2863076084,202.491509678,0.393781483173,12,1091,0
3137922,13311225,0.88580930233,19.0674835058,370.008648895,0.389509707689,13,343,0
3364658,13260726,0.902763664722,19.4324345448,498.423176205,0.325758457184,14,330,0
3366699,13398580,0.8841329813,19.0313998662,748.545738589,0.283079743385,15,371,0
3367447,16553392,0.951072335243,20.4723025795,193.626677382,0.195556998253,16,799,0
3367818,16549061,0.958701908588,20.6365329207,1008.79292315,0.484160065651,17,793,0
3368172,16547685,0.927341043949,19.9614747929,150.212859641,0.133788824081,18,792,0
3368627,16553324,0.901380777359,19.4026672101,198.682550297,0.283173799515,19,799,0
3368870,14677884,0.88494771719,19.0489374594,117.506037658,0.162691533566,20,561,0
3369336,14680680,0.907117009163,19.5261424378,148.427298878,0.114870429039,21,566,0
3369556,18697550,0.922099888325,19.8486563249,142.726410432,0.114892661572,22,1091,0
3369952,16548808,0.944196164608,20.3242896045,63.4455492031,0.0300465226173,23,793,0
3370008,14680410,0.944450974464,20.3297745127,949.571277626,0.366905093193,23,566,0
3370499,12125664,0.885988116264,19.0713325642,125.53072952,0.170350670815,24,203,0
3370766,14681343,0.919066011906,19.7833506339,228.830109539,0.3077070117,25,569,0
3371440,14680327,0.904439151287,19.4685002221,236.405845966,0.179104208946,26,566,0
3374080,18697802,0.888782918453,19.1314920641,342.085210025,0.317753553391,27,1091,0
3381904,14678017,0.931511819363,20.0512527972,325.402952332,0.401546120644,28,561,0
3382206,14671097,0.894692480564,19.2586983124,214.402207261,0.256365299225,29,554,49
3617058,3630257,0.897200524807,19.3126852057,198.329437664,0.357738554478,30,34,50
3624603,3635837,0.91114705801,19.6128912332,202.050955337,0.416633844376,31,37,11
3626476,3635850,0.892470180988,19.2108622145,184.067721887,0.337408721447,32,37,11
3628370,3635854,0.891835570335,19.1972019062,195.767807282,0.353867769241,33,37,11
3630257,3617058,0.897200524807,19.3126852057,189.175118702,0.349589288235,34,30,50
3632104,3626456,0.888241589069,19.1198396813,187.5926416,0.306904137135,35,32,11
3633970,3624602,0.888874411583,19.133461499,187.769765447,0.329065561295,36,31,11
3635837,3624603,0.91114705801,19.6128912332,189.864987152,0.416633844376,37,31,11
5394086,5394118,0.999890685081,21.5231417137,52439.4140377,0.515628635883,38,38,21
5394088,5394120,0.999890685081,21.5231417137,52439.4140377,0.515628635883,38,38,21
5394118,5394086,0.999890685081,21.5231417137,52439.4140377,0.515628635883,38,38,21
5394120,5394088,0.999890685081,21.5231417137,52439.4140377,0.515628635883,38,38,21
5406032,7862219,0.971707820892,20.916491618,70.3864168618,5.28693199158e-05,39,80,51
5444333,7752770,0.997662007809,21.4751683328,3279.01448276,0.000387787818909,40,53,52
5444367,7752804,0.997662007809,21.4751683328,3279.01448276,0.000387787818909,40,53,52
5445891,11743604,0.997651934624,21.4749515025,255.60264706,7.17639923096e-05,41,176,53
5446362,10769865,0.999718427658,21.5194337875,30772.8977234,0.0280640125275,42,151,54
6357739,16548284,0.918478012085,19.7706936468,479.768946343,0.422662764788,43,793,0
6654079,20607082,0.999796628952,21.521117109,198.218843335,0.515476167202,44,1166,31
7689083,7689115,0.999998092651,21.5254537148,185.947121693,0.483428418636,45,45,188
7689115,7689083,0.999998092651,21.5254537148,185.947121693,0.483428418636,45,45,188
7800550,10933804,0.983244478703,21.1648238854,62.6481624758,2.67028808594e-05,64,160,32
7801298,10933804,0.983198165894,21.1638269792,108.513409962,4.57763671875e-05,65,160,32
